Variety,Sales Percentage by Volume
Chardonnay,18.6
Cabernet Sauvignon,14.6
Red Blend,10.6
Pinot Grigio/Pinot Gris,9.7
Merlot,6.4
Moscato/Muscat,6.2
Pinot Noir,5.2
Sauvignon Blanc,5.1
White Zinfandel/Blush,3.6
Rose,2.7
